epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3173.59,0.50063,0.28181,0.85226,0.96714,0.91086,0.95266,0.84751,0.5274,0.27519,0.83868,0.0011882,0.0011882,0.0011882
43,3276.67,0.50136,0.28528,0.85431,0.96856,0.89867,0.95129,0.84035,0.52289,0.27012,0.83865,0.0011684,0.0011684,0.0011684
44,3397.04,0.50442,0.2839,0.85483,0.97056,0.90849,0.95305,0.84185,0.52553,0.27244,0.83956,0.0011486,0.0011486,0.0011486
45,3453.62,0.50142,0.28262,0.85665,0.96396,0.91033,0.95618,0.8461,0.50409,0.26947,0.83656,0.0011288,0.0011288,0.0011288
46,3528.87,0.49721,0.281,0.85234,0.97373,0.90123,0.95395,0.83754,0.51257,0.2702,0.83789,0.001109,0.001109,0.001109
47,3611.3,0.49758,0.28054,0.85373,0.96629,0.90113,0.95585,0.84425,0.52902,0.27497,0.84147,0.0010892,0.0010892,0.0010892
48,3715.85,0.49203,0.27565,0.85452,0.962,0.906,0.95205,0.84535,0.50644,0.26852,0.84035,0.0010694,0.0010694,0.0010694
49,3780.37,0.48915,0.27513,0.85126,0.95938,0.906,0.95492,0.84943,0.50405,0.26571,0.83784,0.0010496,0.0010496,0.0010496
50,3898.69,0.49376,0.27685,0.85032,0.96233,0.91087,0.95435,0.84954,0.50805,0.272,0.83402,0.0010298,0.0010298,0.0010298
51,4008.94,0.48792,0.2731,0.85274,0.96102,0.90438,0.95303,0.84361,0.51573,0.27565,0.8383,0.00101,0.00101,0.00101
52,4216.26,0.48619,0.27048,0.85113,0.97362,0.89733,0.95457,0.84469,0.51364,0.26676,0.83639,0.0009902,0.0009902,0.0009902
53,4331.83,0.4925,0.27608,0.8532,0.96034,0.90275,0.95496,0.85278,0.49236,0.26946,0.83354,0.0009704,0.0009704,0.0009704
54,4541.34,0.48065,0.27114,0.85092,0.97193,0.89951,0.95666,0.83954,0.51449,0.26758,0.83784,0.0009506,0.0009506,0.0009506
55,4652.12,0.48169,0.26963,0.85166,0.96591,0.90438,0.95158,0.84325,0.51892,0.27298,0.8366,0.0009308,0.0009308,0.0009308
56,4886.62,0.48375,0.27138,0.84955,0.9688,0.9058,0.95327,0.84683,0.5195,0.27073,0.83909,0.000911,0.000911,0.000911
57,5015.81,0.48031,0.26897,0.84824,0.95872,0.90334,0.95208,0.84822,0.50842,0.27411,0.83598,0.0008912,0.0008912,0.0008912
58,5207.09,0.47857,0.26662,0.85012,0.9692,0.89951,0.95092,0.84506,0.51193,0.26599,0.83644,0.0008714,0.0008714,0.0008714
59,5354.56,0.47919,0.26901,0.85038,0.96741,0.89951,0.94875,0.84233,0.50419,0.27392,0.83624,0.0008516,0.0008516,0.0008516
60,5547.18,0.47803,0.26754,0.84842,0.96112,0.90438,0.95283,0.844,0.50969,0.26238,0.83433,0.0008318,0.0008318,0.0008318
61,5673.67,0.47007,0.26304,0.84598,0.96759,0.90276,0.95141,0.84351,0.50544,0.26443,0.83439,0.000812,0.000812,0.000812
62,5823.29,0.46667,0.26078,0.84411,0.97358,0.8959,0.95629,0.84727,0.50337,0.26515,0.83348,0.0007922,0.0007922,0.0007922
63,6019.78,0.47144,0.26118,0.84645,0.98045,0.906,0.95553,0.84628,0.51146,0.26696,0.83464,0.0007724,0.0007724,0.0007724
64,6201.93,0.46485,0.25882,0.8444,0.98358,0.89627,0.95617,0.84735,0.50165,0.25712,0.83591,0.0007526,0.0007526,0.0007526
65,6340.28,0.46634,0.25936,0.84784,0.97335,0.89627,0.95174,0.84131,0.51689,0.26514,0.83787,0.0007328,0.0007328,0.0007328
66,6565.32,0.46357,0.25647,0.8455,0.96212,0.90573,0.95026,0.84667,0.4956,0.25918,0.83376,0.000713,0.000713,0.000713
67,6672.03,0.46636,0.25671,0.84826,0.97497,0.90924,0.95805,0.84944,0.49558,0.25629,0.83438,0.0006932,0.0006932,0.0006932
68,6808.22,0.4645,0.25548,0.84668,0.98231,0.90001,0.95697,0.85058,0.49727,0.25272,0.83418,0.0006734,0.0006734,0.0006734
69,6968.99,0.45799,0.25464,0.84142,0.96676,0.90924,0.95431,0.84643,0.50462,0.26002,0.83848,0.0006536,0.0006536,0.0006536
70,7154.41,0.45692,0.25231,0.84429,0.96893,0.90985,0.95683,0.84776,0.5133,0.25763,0.83909,0.0006338,0.0006338,0.0006338
71,7282.6,0.45973,0.25305,0.84511,0.96238,0.91086,0.95296,0.84667,0.50965,0.25949,0.83773,0.000614,0.000614,0.000614
72,7442.68,0.45864,0.25326,0.84495,0.96742,0.89951,0.9538,0.85275,0.50697,0.25357,0.83749,0.0005942,0.0005942,0.0005942
73,7636.38,0.45641,0.25098,0.84392,0.97164,0.906,0.95724,0.85339,0.49686,0.25499,0.83479,0.0005744,0.0005744,0.0005744
74,7855.95,0.44912,0.24811,0.84179,0.96865,0.90276,0.95545,0.84916,0.50161,0.25554,0.83351,0.0005546,0.0005546,0.0005546
75,7954.04,0.45689,0.25167,0.84378,0.97423,0.90276,0.95769,0.85231,0.49927,0.25166,0.83586,0.0005348,0.0005348,0.0005348
76,8168.59,0.4472,0.24493,0.84068,0.97619,0.90762,0.95661,0.8524,0.50781,0.2553,0.83478,0.000515,0.000515,0.000515
77,8280.25,0.45146,0.24849,0.83972,0.96719,0.89951,0.95742,0.84754,0.50044,0.26515,0.83464,0.0004952,0.0004952,0.0004952
78,8474.99,0.45085,0.24753,0.8417,0.97241,0.90276,0.95813,0.85292,0.50335,0.25291,0.83494,0.0004754,0.0004754,0.0004754
79,8609.87,0.4401,0.2421,0.8406,0.97015,0.91248,0.95593,0.85455,0.50327,0.25317,0.83419,0.0004556,0.0004556,0.0004556
80,8790.43,0.44407,0.24252,0.84032,0.97882,0.89868,0.95466,0.85145,0.507,0.25378,0.83482,0.0004358,0.0004358,0.0004358
81,8917.39,0.44403,0.24289,0.8402,0.97729,0.90672,0.95814,0.84975,0.50486,0.2559,0.83698,0.000416,0.000416,0.000416
82,9214.3,0.44739,0.24442,0.84159,0.97221,0.90728,0.95729,0.85379,0.508,0.25456,0.83678,0.0003962,0.0003962,0.0003962
83,9541.86,0.44437,0.24446,0.84273,0.97538,0.91086,0.95639,0.85545,0.49943,0.24803,0.83508,0.0003764,0.0003764,0.0003764
84,9937.76,0.43814,0.24046,0.83821,0.97203,0.90105,0.95298,0.85266,0.50375,0.24961,0.83683,0.0003566,0.0003566,0.0003566
85,10128.5,0.44196,0.241,0.83825,0.96845,0.90762,0.95455,0.85683,0.50478,0.25322,0.83561,0.0003368,0.0003368,0.0003368
86,10392.1,0.44037,0.24114,0.83828,0.9738,0.90353,0.95533,0.85693,0.50385,0.25094,0.83404,0.000317,0.000317,0.000317
87,10571.8,0.43715,0.23761,0.837,0.96966,0.90762,0.95468,0.85673,0.50002,0.24895,0.83372,0.0002972,0.0002972,0.0002972
